date,cases,state
"2020-06-14",79,BW
"2020-06-15",69,BW
"2020-06-16",74,BW
"2020-06-17",71,BW
"2020-06-18",65,BW
"2020-06-19",62,BW
"2020-06-20",54,BW
"2020-06-21",61,BW
"2020-06-22",62,BW
"2020-06-23",60,BW
"2020-06-24",60,BW
"2020-06-25",58,BW
"2020-06-26",65,BW
"2020-06-27",63,BW
"2020-06-28",59,BW
"2020-06-29",55,BW
"2020-06-30",53,BW
"2020-07-01",54,BW
"2020-07-02",59,BW
"2020-07-03",54,BW
"2020-07-04",59,BW
"2020-07-05",52,BW
"2020-07-06",55,BW
"2020-07-07",54,BW
"2020-07-08",47,BW
"2020-07-09",48,BW
"2020-07-10",47,BW
"2020-07-11",42,BW
"2020-07-12",40,BW
"2020-07-13",42,BW
"2020-07-14",47,BW
"2020-07-15",46,BW
"2020-07-16",44,BW
"2020-07-17",43,BW
"2020-07-18",46,BW
"2020-07-19",47,BW
"2020-07-20",46,BW
"2020-07-21",49,BW
"2020-07-22",46,BW
"2020-07-23",46,BW
"2020-07-24",47,BW
"2020-07-25",52,BW
"2020-07-26",50,BW
"2020-07-27",49,BW
"2020-07-28",44,BW
"2020-07-29",45,BW
"2020-07-30",44,BW
"2020-07-31",47,BW
"2020-08-01",44,BW
"2020-08-02",44,BW
"2020-08-03",44,BW
"2020-08-04",41,BW
"2020-08-05",41,BW
"2020-08-06",38,BW
"2020-08-07",33,BW
"2020-08-08",34,BW
"2020-08-09",32,BW
"2020-08-10",30,BW
"2020-08-11",32,BW
"2020-08-12",28,BW
"2020-08-13",31,BW
"2020-08-14",31,BW
"2020-08-15",32,BW
"2020-08-16",30,BW
"2020-08-17",29,BW
"2020-08-18",27,BW
"2020-08-19",28,BW
"2020-08-20",26,BW
"2020-08-21",30,BW
"2020-08-22",31,BW
"2020-08-23",34,BW
"2020-08-24",35,BW
"2020-08-25",29,BW
"2020-08-26",27,BW
"2020-08-27",32,BW
"2020-08-28",30,BW
"2020-08-29",32,BW
"2020-08-30",34,BW
"2020-08-31",33,BW
"2020-09-01",33,BW
"2020-09-02",30,BW
"2020-09-03",32,BW
"2020-09-04",36,BW
"2020-09-05",32,BW
"2020-09-06",27,BW
"2020-09-07",28,BW
"2020-09-08",29,BW
"2020-09-09",30,BW
"2020-09-10",30,BW
"2020-09-11",28,BW
"2020-09-12",33,BW
"2020-09-13",32,BW
"2020-09-14",36,BW
"2020-09-15",41,BW
"2020-09-16",35,BW
"2020-09-17",36,BW
"2020-09-18",37,BW
"2020-09-19",37,BW
"2020-09-20",40,BW
"2020-09-21",42,BW
"2020-09-22",43,BW
"2020-09-23",45,BW
"2020-09-24",47,BW
"2020-09-25",48,BW
"2020-09-26",47,BW
"2020-09-27",50,BW
"2020-09-28",51,BW
"2020-09-29",51,BW
"2020-09-30",53,BW
"2020-10-01",52,BW
"2020-10-02",58,BW
"2020-10-03",63,BW
"2020-10-04",62,BW
"2020-10-05",63,BW
"2020-10-06",63,BW
"2020-10-07",59,BW
"2020-10-08",59,BW
"2020-10-09",67,BW
"2020-10-10",60,BW
"2020-10-11",67,BW
"2020-10-12",69,BW
"2020-10-13",76,BW
"2020-10-14",79,BW
"2020-10-15",69,BW
"2020-10-16",69,BW
"2020-10-17",80,BW
"2020-10-18",84,BW
"2020-10-19",92,BW
"2020-10-20",94,BW
"2020-10-21",94,BW
"2020-10-22",110,BW
"2020-10-23",118,BW
"2020-10-24",132,BW
"2020-10-25",142,BW
"2020-10-26",140,BW
"2020-10-27",156,BW
"2020-10-28",170,BW
"2020-10-29",185,BW
"2020-10-30",199,BW
"2020-10-31",213,BW
"2020-11-01",242,BW
"2020-11-02",247,BW
"2020-11-03",252,BW
"2020-11-04",270,BW
"2020-04-15",686,BY
"2020-04-16",693,BY
"2020-04-17",719,BY
"2020-04-18",715,BY
"2020-04-19",736,BY
"2020-04-20",744,BY
"2020-04-21",746,BY
"2020-04-22",747,BY
"2020-04-23",725,BY
"2020-04-24",713,BY
"2020-04-25",699,BY
"2020-04-26",695,BY
"2020-04-27",676,BY
"2020-04-28",632,BY
"2020-04-29",600,BY
"2020-04-30",571,BY
"2020-05-01",537,BY
"2020-05-02",518,BY
"2020-05-03",504,BY
"2020-05-04",515,BY
"2020-05-05",490,BY
"2020-05-06",488,BY
"2020-05-07",463,BY
"2020-05-08",451,BY
"2020-05-09",427,BY
"2020-05-10",419,BY
"2020-05-11",403,BY
"2020-05-12",396,BY
"2020-05-13",366,BY
"2020-05-14",334,BY
"2020-05-15",317,BY
"2020-05-16",303,BY
"2020-05-17",293,BY
"2020-05-18",298,BY
"2020-05-19",270,BY
"2020-05-20",257,BY
"2020-05-21",237,BY
"2020-05-22",225,BY
"2020-05-23",223,BY
"2020-05-24",217,BY
"2020-05-25",218,BY
"2020-05-26",209,BY
"2020-05-27",196,BY
"2020-05-28",188,BY
"2020-05-29",180,BY
"2020-05-30",173,BY
"2020-05-31",165,BY
"2020-06-01",166,BY
"2020-06-02",173,BY
"2020-06-03",161,BY
"2020-06-04",145,BY
"2020-06-05",132,BY
"2020-06-06",120,BY
"2020-06-07",124,BY
"2020-06-08",113,BY
"2020-06-09",112,BY
"2020-06-10",97,BY
"2020-06-11",93,BY
"2020-06-12",92,BY
"2020-06-13",88,BY
"2020-06-14",88,BY
"2020-06-15",89,BY
"2020-06-16",82,BY
"2020-06-17",72,BY
"2020-06-18",69,BY
"2020-06-19",65,BY
"2020-06-20",56,BY
